scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
barabasi_albert_n50_k5,barabasi_albert,50,5,4,genetic,3.6770472580362847,268.6595999985002,50,35,4030,40594,n0;n2;n21;n22;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,4,bandit_rl,4.216235507974963,2572.871199983638,300,57,4030,40594,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,5,random,4.631224764117689,0.028999987989664078,1,1,4030,40725,n7;n37;n0;n2;n35
barabasi_albert_n50_k5,barabasi_albert,50,5,5,greedy_k_center,4.536691417976886,0.4655999946407974,1,1,4030,40725,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,5,kmeans,5.58165649063311,24.032499990426004,1,1,4030,40725,n24;n28;n18;n12;n31
barabasi_albert_n50_k5,barabasi_albert,50,5,5,genetic,3.752698078653725,272.0042999717407,50,17,4030,40725,n0;n12;n2;n21;n22
barabasi_albert_n50_k5,barabasi_albert,50,5,5,bandit_rl,4.216235507974963,2952.292200003285,300,65,4030,40725,n0;n2;n3;n4;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,1,random,7.8074566041289755,0.03260001540184021,1,1,5027,50208,n34;n42;n41
barabasi_albert_n100_k3,barabasi_albert,100,3,1,greedy_k_center,5.0996951913333,0.5445000133477151,1,1,5027,50208,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,1,kmeans,7.718023330118203,20.71579999756068,1,1,5027,50208,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,1,genetic,4.8017053869683215,342.68839994911104,50,23,5027,50208,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,1,bandit_rl,5.025468523417563,13733.759300026577,300,47,5027,50208,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,2,random,6.558823504675013,0.031000003218650818,1,1,5027,50339,n31;n52;n4
barabasi_albert_n100_k3,barabasi_albert,100,3,2,greedy_k_center,5.0996951913333,0.7492000004276633,1,1,5027,50339,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,2,kmeans,7.718023330118203,19.986200029961765,1,1,5027,50339,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,2,genetic,4.7928177046580265,370.38229999598116,50,32,5027,50339,n0;n3;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,2,bandit_rl,5.025468523417563,11961.287599988282,300,48,5027,50339,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,3,random,5.901224814306785,0.029799994081258774,1,1,5027,50470,n33;n3;n50
barabasi_albert_n100_k3,barabasi_albert,100,3,3,greedy_k_center,5.0996951913333,0.5271999980323017,1,1,5027,50470,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,3,kmeans,7.718023330118203,20.59880003798753,1,1,5027,50470,n36;n29;n97
barabasi_albert_n100_k3,barabasi_albert,100,3,3,genetic,4.8017053869683215,433.2855999819003,50,27,5027,50470,n0;n14;n64
barabasi_albert_n100_k3,barabasi_albert,100,3,3,bandit_rl,4.886663710144038,12307.017799990717,300,14,5027,50470,n0;n56;n9
barabasi_albert_n100_k3,barabasi_albert,100,3,4,random,6.5193466939208236,0.04109996370971203,1,1,5027,50601,n93;n35;n83
barabasi_albert_n100_k3,barabasi_albert,100,3,4,greedy_k_center,5.0996951913333,0.5601999582722783,1,1,5027,50601,n0;n99;n45
barabasi_albert_n100_k3,barabasi_albert,100,3,4,kmeans,7.718023330118203,21.484200027771294,1,1,5027,50601,n97;n36;n29
barabasi_albert_n100_k3,barabasi_albert,100,3,4,genetic,4.811129703231254,352.6236000470817,50,32,5027,50601,n0;n3;n33
barabasi_albert_n100_k3,barabasi_albert,100,3,4,bandit_rl,5.025468523417563,11953.556400025263,300,44,5027,50601,n0;n6;n8
barabasi_albert_n100_k3,barabasi_albert,100,3,5,random,7.492514701538308,0.0344999716617167,1,1,5027,50732,n41;n87;n16
barabasi_albert_n100_k3,barabasi_albert,100,3,5,greedy_k_center,5.0996951913333,0.6511000101454556,1,1,5027,50732,n0;n99;n45
