topology_model,node_count,controller_budget,algorithm,baseline_algorithm,trials_algorithm,trials_baseline,latency_gain_vs_baseline_mean,latency_gain_ci95_low,latency_gain_ci95_high,runtime_penalty_vs_baseline_mean,runtime_penalty_ci95_low,runtime_penalty_ci95_high,latency_cliffs_delta_alg_vs_baseline,latency_cliffs_magnitude,runtime_cliffs_delta_alg_vs_baseline,runtime_cliffs_magnitude
waxman,20,3,kmeans,random,5,5,0.2405402951157578,-0.4732803842924662,0.9543609745239827,17.270380002446473,15.82028450575308,19.057792001112823,0.2,small,1.0,large
waxman,20,5,bandit_rl,random,5,5,0.929861036844124,0.8324705906927384,1.0668427095993267,144.86857999872882,142.3247729975992,147.41439549979987,-1.0,large,1.0,large
waxman,20,5,genetic,random,5,5,1.0712135460638148,0.9785485918878156,1.2080928920042466,132.1466000023065,120.4595600022003,143.02734999502718,-1.0,large,1.0,large
waxman,20,5,greedy_k_center,random,5,5,0.5642454327846638,0.473241963297129,0.6994632940366312,0.12573999701999128,0.1207790027547162,0.13079999771434814,-1.0,large,1.0,large
waxman,20,5,kmeans,random,5,5,-0.08756859286289176,-0.17857206235042655,0.04764926838907568,21.757319997414015,19.46575399604626,24.40733299663406,0.6,large,1.0,large
waxman,50,3,bandit_rl,random,5,5,3.494316811632757,2.1432318059772704,4.710767138879545,906.0697199980495,853.9942635039188,966.355542489982,-1.0,large,1.0,large
waxman,50,3,genetic,random,5,5,4.573053800120923,3.229004009923975,5.618157489988881,167.11488000291865,155.52479000216408,183.16896701311634,-1.0,large,1.0,large
waxman,50,3,greedy_k_center,random,5,5,-0.34778412312816087,-1.6461613166862712,0.688800298362219,0.16146000707522035,0.1516175079450477,0.171260514689493,-0.2,small,1.0,large
waxman,50,3,kmeans,random,5,5,-2.7195866654153846,-4.017963858973495,-1.6830022439250047,18.910380004672334,17.15756799923838,21.263865506043658,1.0,large,1.0,large
waxman,50,5,bandit_rl,random,5,5,3.9344334708521824,1.6111817469465415,7.181868444384404,849.6090999949956,835.307319492058,861.6061009947589,-1.0,large,1.0,large
